,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1936-10-23,9.1,7.5,10.8,0.0,,,89.0,,,10.5,1007.3
1936-10-24,6.9,3.5,13.5,0.0,,,75.0,,,7.6,1005.2
1936-10-25,9.6,4.5,13.2,0.0,,,75.0,,,8.9,996.4
1936-10-26,8.4,5.5,11.5,2.3,,,61.0,,,6.7,995.7
1936-10-27,9.9,6.8,16.0,0.2,,,66.0,,,8.7,987.9
1936-10-28,5.4,4.2,7.2,3.9,,,80.0,,,7.3,991.7
1936-10-29,6.6,2.5,7.5,0.2,,,90.0,,,8.7,1004.5
1936-10-30,3.7,2.3,7.3,0.0,,,89.0,,,7.2,1009.5
1936-10-31,2.6,-1.0,5.8,0.0,,,89.0,,,6.5,1002.9
1936-11-01,5.4,0.8,7.6,7.2,,,97.0,,,8.5,999.3
1936-11-02,5.0,4.3,6.9,3.5,,,94.0,,,8.1,998.3
1936-11-03,5.4,1.2,8.5,0.0,,,81.0,,,7.1,1000.8
1936-11-04,7.0,4.3,9.0,0.0,,,84.0,,,8.4,1002.4
1936-11-05,4.8,3.5,7.0,0.0,,,89.0,,,7.5,999.7
1936-11-06,6.6,3.0,8.6,0.0,,,79.0,,,7.6,990.9
1936-11-07,7.5,4.5,8.1,0.0,,,73.0,,,7.5,984.2
1936-11-08,8.8,6.3,13.2,0.8,,,68.0,,,7.7,983.8
1936-11-09,8.6,4.5,12.5,0.0,,,61.0,,,6.8,991.1
1936-11-10,8.2,5.0,13.0,0.0,,,63.0,,,6.9,994.2
1936-11-11,6.9,2.9,10.0,0.0,,,63.0,,,6.3,997.8
1936-11-12,6.8,2.0,8.1,2.6,,,80.0,,,7.9,993.1
1936-11-13,9.4,6.7,12.0,0.0,,,78.0,,,9.3,995.6
1936-11-14,6.0,3.7,10.4,0.0,,,74.0,,,7.1,1004.5
1936-11-15,5.9,0.8,10.9,0.0,,,78.0,,,7.1,1007.8
1936-11-16,6.2,1.0,9.3,2.8,,,82.0,,,7.6,998.7
1936-11-17,6.8,5.5,9.8,9.0,,,78.0,,,7.7,996.9
1936-11-18,9.6,5.8,11.2,2.5,,,90.0,,,10.9,995.2
1936-11-19,2.5,0.5,9.5,3.5,,,97.0,,,7.5,1004.3
1936-11-20,-0.3,-1.0,0.6,0.2,,,85.0,,,5.1,1015.3
1936-11-21,-1.4,-2.3,1.2,0.0,,,91.0,,,5.1,1019.9
1936-11-22,-1.1,-4.0,0.2,0.0,,,92.0,,,5.1,1013.7
1936-11-23,0.2,-3.8,4.7,0.0,,,86.0,,,5.5,1009.6
1936-11-24,0.6,-1.5,3.5,0.0,,,80.0,,,5.2,1005.9
1936-11-25,-1.2,-2.6,2.4,0.0,,,79.0,,,4.5,1004.0
1936-11-26,-1.4,-4.1,-1.0,0.0,,,84.0,,,4.7,1005.7
1936-11-27,-1.5,-2.2,-0.5,0.0,,,81.0,,,4.4,1002.5
1936-11-28,-0.5,-2.3,1.2,0.3,,,87.0,,,5.2,1004.0
1936-11-29,1.1,-1.0,2.1,1.8,,,88.0,,,5.7,1005.4
1936-11-30,5.0,1.0,6.5,0.9,,,86.0,,,7.2,989.5
1936-12-01,3.0,1.5,6.5,5.1,,,85.0,,,6.5,982.9
1936-12-02,3.2,1.5,4.5,3.3,,,84.0,,,6.5,981.1
1936-12-03,2.5,0.2,3.2,0.8,,,85.0,,,6.1,992.2
1936-12-04,4.0,-0.9,6.7,0.7,,,91.0,,,7.1,999.1
1936-12-05,3.1,1.5,6.8,0.0,,,74.0,,,5.7,999.7
1936-12-06,3.4,1.8,6.8,0.0,,,70.0,,,5.5,996.5
1936-12-07,2.5,-0.3,5.5,0.0,,,71.0,,,5.3,1003.6
1936-12-08,0.6,-2.0,5.5,0.0,,,82.0,,,5.3,1014.7
